id|Cause|PFail_1day|PFail_1week|PFail_1month
69|Cause82|0.028907675879418566|0.03468921105530228|0.041627053266362735
70|Cause73|0.11890454308126563|0.14268545169751876|0.1712225420370225
71|Cause136|0.39709875795626515|0.4765185095475182|0.5718222114570218
72|Cause123|0.1500174005123438|0.18002088061481256|0.21602505673777506
73|Cause105|0.11204747054257558|0.1344569646510907|0.16134835758130883
74|Cause98|0.21342433223986143|0.2561091986878337|0.30733103842540044
75|Cause137|0.2228456804667851|0.2674148165601421|0.3208977798721705
76|Cause75|0.22370366899692373|0.2684444027963085|0.3221332833555702
77|Cause90|0.09079729586347116|0.10895675503616538|0.13074810604339845
78|Cause106|0.1347601569446327|0.16171218833355924|0.1940546260002711
79|Cause138|0.22108813860098264|0.26530576632117914|0.31836691958541496
80|Cause139|0.16247262668058632|0.1949671520167036|0.2339605824200443
81|Cause88|0.007418779663638553|0.008902535596366263|0.010683042715639515
82|Cause110|0.13414423863244548|0.16097308635893456|0.19316770363072147
83|Cause102|0.5066581900887929|0.6079898281065514|0.7295877937278618
84|Cause103|0.07126669312126246|0.08552003174551495|0.10262403809461794
85|Cause126|0.2780364493131066|0.3336437391757279|0.4003724870108735
